"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 99886.7","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
