"SXD633.Code.or.Value","SXD633.Value.Description","SXD633.Count","SXD633.Cumulative","SXD633.Skip.to.Item"
"13 to 50","Range of Values",1431,1431,NA
"12","12 years or younger",22,1453,NA
"77","Refused",1,1454,NA
"99","Don't know",1,1455,NA
".","Missing",3388,4843,NA
