"URXOPM.Code.or.Value","URXOPM.Value.Description","URXOPM.Count","URXOPM.Cumulative","URXOPM.Skip.to.Item"
"0.07 to 274","Range of Values",2627,2627,NA
".","Missing",132,2759,NA
