"LBX028LA.Code.or.Value","LBX028LA.Value.Description","LBX028LA.Count","LBX028LA.Cumulative","LBX028LA.Skip.to.Item"
"0.8 to 237","Range of Values",1866,1866,NA
".","Missing",419,2285,NA
