"LBDPFL.Code.or.Value","LBDPFL.Value.Description","LBDPFL.Count","LBDPFL.Cumulative","LBDPFL.Skip.to.Item"
"0.18 to 4.02","Range of Values",2145,2145,NA
".","Missing",402,2547,NA
