"DR1_040Z.Code.or.Value","DR1_040Z.Value.Description","DR1_040Z.Count","DR1_040Z.Cumulative","DR1_040Z.Skip.to.Item"
"1","Yes",78497,78497,NA
"2","No",33183,111680,NA
"7","Refused",0,111680,NA
"9","Don't know",30,111710,NA
".","Missing",973,112683,NA
