"DXXRAFAT.Code.or.Value","DXXRAFAT.Value.Description","DXXRAFAT.Count","DXXRAFAT.Cumulative","DXXRAFAT.Skip.to.Item"
"162.2 to 6857.8","Range of Values",4008,4008,NA
".","Missing",1106,5114,NA
