"LBXGHC.Code.or.Value","LBXGHC.Value.Description","LBXGHC.Count","LBXGHC.Cumulative","LBXGHC.Skip.to.Item"
"0.0062 to 1.7438","Range of Values",1960,1960,NA
".","Missing",377,2337,NA
