"WTSBA12.Code.or.Value","WTSBA12.Value.Description","WTSBA12.Count","WTSBA12.Cumulative","WTSBA12.Skip.to.Item"
"0 to 366022.29632","Range of Values",946,946,NA
".","Missing",65,1011,NA
