"LBXFOL.Code.or.Value","LBXFOL.Value.Description","LBXFOL.Count","LBXFOL.Cumulative","LBXFOL.Skip.to.Item"
"0.7 to 171","Range of Values",8143,8143,NA
".","Missing",1297,9440,NA
