"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","At or above the detection limit",289,289,NA
"1","Below lower detection limit",1,290,NA
".","Missing",11,301,NA
