"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0.15 to 6.233","Range of Values",2656,2656,NA
".","Missing",475,3131,NA
