"OCQ640.Code.or.Value","OCQ640.Value.Description","OCQ640.Count","OCQ640.Cumulative","OCQ640.Skip.to.Item"
"0 to 30","Range of Values",3508,3508,NA
"77","Refused",1,3509,NA
"99","Don't know",3,3512,NA
".","Missing",2815,6327,NA
