"CIQD046.Code.or.Value","CIQD046.Value.Description","CIQD046.Count","CIQD046.Cumulative","CIQD046.Skip.to.Item"
"1","Yes",59,59,NA
"2","No",53,112,NA
"7","Refuse",0,112,NA
"9","Don't know",2,114,NA
".","Missing",736,850,NA
