"OPDSSE.Code.or.Value","OPDSSE.Value.Description","OPDSSE.Count","OPDSSE.Cumulative","OPDSSE.Skip.to.Item"
"0","No",3114,3114,NA
"1","Questionable",15,3129,NA
"2","Yes",42,3171,NA
".","Missing",692,3863,NA
