"TYXA057.Code.or.Value","TYXA057.Value.Description","TYXA057.Count","TYXA057.Cumulative","TYXA057.Skip.to.Item"
"0.09 to 6.528","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
