"CIQP13N.Code.or.Value","CIQP13N.Value.Description","CIQP13N.Count","CIQP13N.Cumulative","CIQP13N.Skip.to.Item"
"1","Yes",19,19,NA
"2","No",89,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
