"LBDPFNAL.Code.or.Value","LBDPFNAL.Value.Description","LBDPFNAL.Count","LBDPFNAL.Cumulative","LBDPFNAL.Skip.to.Item"
"0","At or above the detection limit",1784,1784,NA
"1","Below lower detection limit",145,1929,NA
".","Missing",204,2133,NA
