"WBXF096.Code.or.Value","WBXF096.Value.Description","WBXF096.Count","WBXF096.Cumulative","WBXF096.Skip.to.Item"
"5822.6127 to 5822.6127","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
