"LBCBR9LA.Code.or.Value","LBCBR9LA.Value.Description","LBCBR9LA.Count","LBCBR9LA.Cumulative","LBCBR9LA.Skip.to.Item"
"0.1414 to 15.84","Range of Values",265,265,NA
".","Missing",0,265,NA
