"DMDHREDZ.Code.or.Value","DMDHREDZ.Value.Description","DMDHREDZ.Count","DMDHREDZ.Cumulative","DMDHREDZ.Skip.to.Item"
"1","Less than high school degree",1656,1656,NA
"2","High school grad/GED or some college/AA degree",5007,6663,NA
"3","College graduate or above",2101,8764,NA
"7","Refused",0,8764,NA
"9","Don't Know",0,8764,NA
".","Missing",490,9254,NA
