"LBXIHG.Code.or.Value","LBXIHG.Value.Description","LBXIHG.Count","LBXIHG.Cumulative","LBXIHG.Skip.to.Item"
"0.15 to 33.95","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
