"LBXEN1.Code.or.Value","LBXEN1.Value.Description","LBXEN1.Count","LBXEN1.Cumulative","LBXEN1.Skip.to.Item"
"4.42 to 136","Range of Values",4029,4029,NA
".","Missing",1614,5643,NA
