"AUDTYR78.Code.or.Value","AUDTYR78.Value.Description","AUDTYR78.Count","AUDTYR78.Cumulative","AUDTYR78.Skip.to.Item"
"0 to 1.56","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
