"LBXPHF.Code.or.Value","LBXPHF.Value.Description","LBXPHF.Count","LBXPHF.Cumulative","LBXPHF.Skip.to.Item"
"0.35 to 42.08","Range of Values",7209,7209,NA
"0.21","Fill Value of Limit of Detection",59,7268,NA
".","Missing",714,7982,NA
