"LBCF02.Code.or.Value","LBCF02.Value.Description","LBCF02.Count","LBCF02.Cumulative","LBCF02.Skip.to.Item"
"1.131 to 8.594","Range of Values",288,288,NA
".","Missing",13,301,NA
