"OPDDHEM.Code.or.Value","OPDDHEM.Value.Description","OPDDHEM.Count","OPDDHEM.Cumulative","OPDDHEM.Skip.to.Item"
"0","No",2886,2886,NA
"1","Yes",60,2946,NA
".","Missing",917,3863,NA
