"LBCF03.Code.or.Value","LBCF03.Value.Description","LBCF03.Count","LBCF03.Cumulative","LBCF03.Skip.to.Item"
"1.273 to 85.65","Range of Values",298,298,NA
".","Missing",3,301,NA
