"WTMREP52.Code.or.Value","WTMREP52.Value.Description","WTMREP52.Count","WTMREP52.Cumulative","WTMREP52.Skip.to.Item"
"0 to 260463.01834","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
