"URD2MHLC.Code.or.Value","URD2MHLC.Value.Description","URD2MHLC.Count","URD2MHLC.Cumulative","URD2MHLC.Skip.to.Item"
"0","At or above the detection limit",2347,2347,NA
"1","Below lower detection limit",308,2655,NA
".","Missing",324,2979,NA
