"WTMREP28.Code.or.Value","WTMREP28.Value.Description","WTMREP28.Count","WTMREP28.Cumulative","WTMREP28.Skip.to.Item"
"0 to 265884.08648","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
