"DS2ITFAT.Code.or.Value","DS2ITFAT.Value.Description","DS2ITFAT.Count","DS2ITFAT.Cumulative","DS2ITFAT.Skip.to.Item"
"0.02 to 30","Range of Values",546,546,NA
".","Missing",5230,5776,NA
