"OHD691.Code.or.Value","OHD691.Value.Description","OHD691.Count","OHD691.Cumulative","OHD691.Skip.to.Item"
"1","Yes",1793,1793,NA
"2","No",3737,5530,NA
"7","Refused",1,5531,NA
"9","Don't know",89,5620,NA
".","Missing",3684,9304,NA
