"LBXBR4LA.Code.or.Value","LBXBR4LA.Value.Description","LBXBR4LA.Count","LBXBR4LA.Cumulative","LBXBR4LA.Skip.to.Item"
"0.2 to 66.9","Range of Values",2000,2000,NA
".","Missing",337,2337,NA
