"DLQ130.Code.or.Value","DLQ130.Value.Description","DLQ130.Count","DLQ130.Cumulative","DLQ130.Skip.to.Item"
"1","A little",2114,2114,NA
"2","A lot",585,2699,NA
"3","Somewhere in between a little and a lot",1617,4316,NA
"7","Refused",0,4316,NA
"9","Don't know",9,4325,NA
".","Missing",4573,8898,NA
