"OHQ560U.Code.or.Value","OHQ560U.Value.Description","OHQ560U.Count","OHQ560U.Cumulative","OHQ560U.Skip.to.Item"
"1","Months",426,426,NA
"2","Years",1782,2208,NA
".","Missing",6689,8897,NA
