"URDUCR2S.Code.or.Value","URDUCR2S.Value.Description","URDUCR2S.Count","URDUCR2S.Cumulative","URDUCR2S.Skip.to.Item"
"353.6 to 60554","Range of Values",7361,7361,NA
".","Missing",1230,8591,NA
