"WTSHM40.Code.or.Value","WTSHM40.Value.Description","WTSHM40.Count","WTSHM40.Cumulative","WTSHM40.Skip.to.Item"
"0.0000000 to 736874.0670000","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
