"RHQ568U.Code.or.Value","RHQ568U.Value.Description","RHQ568U.Count","RHQ568U.Cumulative","RHQ568U.Skip.to.Item"
"1","Months",12,12,NA
"2","Years",23,35,NA
"7","Refused",0,35,NA
"9","Don't know",0,35,NA
".","Missing",3263,3298,NA
