"LBXPDTLA.Code.or.Value","LBXPDTLA.Value.Description","LBXPDTLA.Count","LBXPDTLA.Cumulative","LBXPDTLA.Skip.to.Item"
"0.9 to 1040","Range of Values",1965,1965,NA
".","Missing",372,2337,NA
