"CIQP52.Code.or.Value","CIQP52.Value.Description","CIQP52.Count","CIQP52.Cumulative","CIQP52.Skip.to.Item"
"0 to 36","Range of Values",17,17,NA
"77","Refused",0,17,NA
"99","Don't know",3,20,NA
".","Missing",830,850,NA
