"LB2SPHSI.Code.or.Value","LB2SPHSI.Value.Description","LB2SPHSI.Count","LB2SPHSI.Cumulative","LB2SPHSI.Skip.to.Item"
"0.74 to 2.97","Range of Values",544,544,NA
".","Missing",2,546,NA
