"WTSAU23.Code.or.Value","WTSAU23.Value.Description","WTSAU23.Count","WTSAU23.Cumulative","WTSAU23.Skip.to.Item"
"0 to 476173.97962","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
