"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 110","Range of Values",2739,2739,NA
"666","No response",22,2761,NA
"888","Could not obtain",119,2880,NA
".","Missing",251,3131,NA
