"RFXT165.Code.or.Value","RFXT165.Value.Description","RFXT165.Count","RFXT165.Cumulative","RFXT165.Skip.to.Item"
"1441 to 1450","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
