"BMXSAD3.Code.or.Value","BMXSAD3.Value.Description","BMXSAD3.Count","BMXSAD3.Cumulative","BMXSAD3.Skip.to.Item"
"11.3 to 39.5","Range of Values",353,353,NA
".","Missing",9191,9544,NA
