"WTSHM27.Code.or.Value","WTSHM27.Value.Description","WTSHM27.Count","WTSHM27.Cumulative","WTSHM27.Skip.to.Item"
"0.0000000 to 788279.8898000","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
