"URDUTMLC.Code.or.Value","URDUTMLC.Value.Description","URDUTMLC.Count","URDUTMLC.Cumulative","URDUTMLC.Skip.to.Item"
"0","At or above the detection limit",48,48,NA
"1","Below lower detection limit",2229,2277,NA
".","Missing",72,2349,NA
