"CIQD089.Code.or.Value","CIQD089.Value.Description","CIQD089.Count","CIQD089.Cumulative","CIQD089.Skip.to.Item"
"1","Yes",8,8,""
"2","No",32,40,"CIQD092"
"7","Refuse",0,40,"CIQD092"
"9","Don't know",0,40,"CIQD092"
".","Missing",810,850,""
