"DXXAL2.Code.or.Value","DXXAL2.Value.Description","DXXAL2.Count","DXXAL2.Cumulative","DXXAL2.Skip.to.Item"
"0 to 3","Range of Values",3221,3221,NA
".","Missing",487,3708,NA
