"DBQ221C.Code.or.Value","DBQ221C.Value.Description","DBQ221C.Count","DBQ221C.Cumulative","DBQ221C.Skip.to.Item"
"12","1% fat milk,",575,575,NA
".","Missing",9547,10122,NA
