"URDMHTLC.Code.or.Value","URDMHTLC.Value.Description","URDMHTLC.Count","URDMHTLC.Cumulative","URDMHTLC.Skip.to.Item"
"0","At or above detection limit",2668,2668,NA
"1","Below lower detection limit",94,2762,NA
".","Missing",224,2986,NA
