"LBXDX1.Code.or.Value","LBXDX1.Value.Description","LBXDX1.Count","LBXDX1.Cumulative","LBXDX1.Skip.to.Item"
"1","Sensitive",72,72,NA
"2","Resistant",0,72,NA
"3","Intermediate",0,72,NA
"4","No Result",298,370,NA
".","Missing",8809,9179,NA
