"LBX167.Code.or.Value","LBX167.Value.Description","LBX167.Count","LBX167.Cumulative","LBX167.Skip.to.Item"
"0.0004 to 0.3363","Range of Values",1864,1864,NA
".","Missing",421,2285,NA
