"MCD180m.Code.or.Value","MCD180m.Value.Description","MCD180m.Count","MCD180m.Cumulative","MCD180m.Skip.to.Item"
"17 to 79","Range of Values",590,590,NA
"16","16 years or younger",29,619,NA
"80","80 years or older",22,641,NA
"77777","Refused",0,641,NA
"99999","Don't know",14,655,NA
".","Missing",8242,8897,NA
