"LBCPCBLA.Code.or.Value","LBCPCBLA.Value.Description","LBCPCBLA.Count","LBCPCBLA.Cumulative","LBCPCBLA.Skip.to.Item"
"0.5303 to 128.2","Range of Values",294,294,NA
".","Missing",7,301,NA
