"PSQ060.Code.or.Value","PSQ060.Value.Description","PSQ060.Count","PSQ060.Cumulative","PSQ060.Skip.to.Item"
"1","Yes",5,5,"PSQ080"
"2","No",11,16,""
"7","Refused",0,16,"PSQ080"
"9","Don't know",0,16,"PSQ080"
".","Missing",36,52,""
