"OPDUPHVH.Code.or.Value","OPDUPHVH.Value.Description","OPDUPHVH.Count","OPDUPHVH.Cumulative","OPDUPHVH.Skip.to.Item"
"0","None",3271,3271,NA
"1","Questionable",2,3273,NA
"2","< 1 Disc Area",1,3274,NA
"3",">= 1 Disc Area",0,3274,NA
".","Missing",589,3863,NA
