"WTSHM31.Code.or.Value","WTSHM31.Value.Description","WTSHM31.Count","WTSHM31.Cumulative","WTSHM31.Skip.to.Item"
"0.0000000 to 741848.0830500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
