"LBCOXY.Code.or.Value","LBCOXY.Value.Description","LBCOXY.Count","LBCOXY.Cumulative","LBCOXY.Skip.to.Item"
"3.536 to 259","Range of Values",264,264,NA
".","Missing",1,265,NA
