"WTSPP26.Code.or.Value","WTSPP26.Value.Description","WTSPP26.Count","WTSPP26.Cumulative","WTSPP26.Skip.to.Item"
"0 to 831916.69938","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
