"DXXTSA.Code.or.Value","DXXTSA.Value.Description","DXXTSA.Count","DXXTSA.Cumulative","DXXTSA.Skip.to.Item"
"51.97 to 247.44","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
