"RFXC026.Code.or.Value","RFXC026.Value.Description","RFXC026.Count","RFXC026.Cumulative","RFXC026.Skip.to.Item"
"-8.122 to 5.395","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
