"RFXT124.Code.or.Value","RFXT124.Value.Description","RFXT124.Count","RFXT124.Cumulative","RFXT124.Skip.to.Item"
"1079 to 1088","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
